businessName,cashpointName,category,name,price
Rancho El Milagrito,Cantina Lobo Aullador,Cerveza,Corona,45
Rancho El Milagrito,Cantina Lobo Aullador,Cerveza,Victoria,45
Rancho El Milagrito,Cantina Lobo Aullador,Cerveza,Modelo Especial,60
Rancho El Milagrito,Cantina Lobo Aullador,Cerveza,Negra Modelo,60
Rancho El Milagrito,Cantina Lobo Aullador,Cerveza,Tecate Roja,45
Rancho El Milagrito,Cantina Lobo Aullador,Cerveza,Dos Equis,50
Rancho El Milagrito,Cantina Lobo Aullador,Cerveza,Indio,45

Rancho El Milagrito,Cantina Lobo Aullador,Café,Americano,35
Rancho El Milagrito,Cantina Lobo Aullador,Café,Cappuccino,50
Rancho El Milagrito,Cantina Lobo Aullador,Café,Latte,50
Rancho El Milagrito,Cantina Lobo Aullador,Café,Espresso sencillo,40
Rancho El Milagrito,Cantina Lobo Aullador,Café,Espresso doble,50
Rancho El Milagrito,Cantina Lobo Aullador,Café,Mocha,70
Rancho El Milagrito,Cantina Lobo Aullador,Café,Carajillo Turín,150

Rancho El Milagrito,Cantina Lobo Aullador,Coctelería,Mojito (sin alcohol),120
Rancho El Milagrito,Cantina Lobo Aullador,Coctelería,Piña colada,120
Rancho El Milagrito,Cantina Lobo Aullador,Coctelería,Cuba libre,95
