businessName,cashpointName,category,name,price
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Chilaquiles gratinados,125
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Enchiladas Barretero,170
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Enchiladas verdes,160
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Enfrijoladas,150
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Molletes gratinados,110
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Del Capataz,235
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Bistec Minero,170
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Del Hacendado,245
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Tosta de salmón,190
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Tosta salada,160
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Hot cakes,130
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Don Fulgencio,175
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Tostas de frutos rojos,170
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Pan francés,135
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Waffles,130
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Huevo al gusto,130
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Omelette light,135
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Desayunos,Omelette de salmón,195

Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Extras,Pollo (100 gr),55
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Extras,Res (100 gr),70

Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Café,Espresso (30 ml),40
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Café,Espresso americano (240 ml),40
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Café,Flat white (120 ml),50
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Café,Cappuccino (240 ml),70
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Café,Latte (240 ml),70
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Café,Mocha (240 ml),80

Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Cervezas,Corona,45
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Cervezas,Victoria,45
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Cervezas,Modelo Especial,60
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Cervezas,Negra Modelo,60

Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Jugos,Naranja,50
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Jugos,De temporada,70
Tierra Adentro Hotel Fashion Grill & Spa,Restaurante,Fuente de sodas,Naranjada natural,50
